temp,feels_like,temp_min,temp_max,pressure,humidity,clouds,wind_speed,rain,wind_strength
6.38,2.36,4.25,6.38,1015.0,70.0,33.0,6.78,0.0,Gentle breeze
4.86,0.46,3.57,4.86,1014.0,78.0,67.0,6.66,0.0,Gentle breeze
2.78,-1.93,2.78,2.78,1010.0,97.0,100.0,6.02,1.48,Gentle breeze
3.4,-1.16,3.4,3.4,1007.0,97.0,100.0,6.05,1.86,Gentle breeze
4.77,0.38,4.77,4.77,1007.0,96.0,100.0,6.56,2.54,Gentle breeze
3.56,-0.49,3.56,3.56,1010.0,93.0,92.0,5.06,0.0,Light breeze
3.33,0.28,3.33,3.33,1012.0,94.0,36.0,3.29,0.24,Light air
5.83,2.26,5.83,5.83,1013.0,82.0,31.0,5.25,0.0,Light breeze
8.45,5.28,8.45,8.45,1014.0,70.0,10.0,5.98,0.0,Gentle breeze
8.98,6.51,8.98,8.98,1015.0,66.0,53.0,4.53,0.0,Light breeze
5.76,3.25,5.76,5.76,1014.0,76.0,100.0,3.25,0.0,Light air
4.37,2.3,4.37,4.37,1013.0,85.0,100.0,2.34,0.0,Light air
3.26,0.95,3.26,3.26,1012.0,97.0,100.0,2.38,0.0,Light air
3.48,2.28,3.48,3.48,1012.0,99.0,96.0,1.45,0.0,Calm
3.7,1.92,3.7,3.7,1011.0,99.0,100.0,1.94,0.1,Light air
3.74,0.89,3.74,3.74,1011.0,98.0,100.0,3.14,0.0,Light air
3.71,0.26,3.71,3.71,1011.0,95.0,100.0,4.02,0.0,Light breeze
3.98,0.27,3.98,3.98,1009.0,95.0,100.0,4.59,0.0,Light breeze
4.18,0.42,4.18,4.18,1006.0,96.0,100.0,4.79,0.0,Light breeze
3.96,0.36,3.96,3.96,1004.0,98.0,100.0,4.39,5.35,Light breeze
4.4,1.53,4.4,4.4,1004.0,96.0,100.0,3.35,0.0,Light breeze
3.57,0.55,3.57,3.57,1004.0,97.0,92.0,3.32,0.0,Light breeze
2.57,0.77,2.57,2.57,1002.0,98.0,100.0,1.8,0.0,Light air
3.58,0.66,3.58,3.58,1000.0,96.0,100.0,3.18,0.0,Light air
5.63,2.21,5.63,5.63,996.0,85.0,100.0,4.81,0.0,Light breeze
5.15,0.86,5.15,5.15,991.0,96.0,99.0,6.57,3.66,Gentle breeze
3.38,-1.04,3.38,3.38,989.0,90.0,100.0,5.72,2.45,Gentle breeze
3.26,-1.45,3.26,3.26,988.0,95.0,100.0,6.32,0.32,Gentle breeze
3.57,-1.5,3.57,3.57,987.0,86.0,100.0,7.46,0.68,Gentle breeze
2.28,-1.81,2.28,2.28,986.0,97.0,100.0,4.54,0.25,Light breeze
2.77,2.77,2.77,2.77,986.0,98.0,100.0,1.11,0.0,Calm
3.79,1.01,3.79,3.79,989.0,94.0,100.0,3.05,0.29,Light air
5.22,1.65,5.22,5.22,992.0,83.0,100.0,4.91,0.1,Light breeze
3.61,-0.11,3.61,3.61,995.0,94.0,100.0,4.45,0.0,Light breeze
3.08,-0.95,3.08,3.08,997.0,91.0,100.0,4.79,0.36,Light breeze
2.91,-0.85,2.91,2.91,999.0,90.0,100.0,4.23,0.1,Light breeze
2.22,-1.22,2.22,2.22,999.0,89.0,100.0,3.5,0.0,Light breeze
2.2,-0.68,2.2,2.2,999.0,89.0,100.0,2.79,0.0,Light air
2.06,0.11,2.06,2.06,999.0,92.0,100.0,1.86,0.0,Light air
2.84,1.21,2.84,2.84,999.0,87.0,100.0,1.7,0.0,Light air
